version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Blair Iris,Huffman@domainname.onmicrosoft.com,CA8834722, No,Zephr,Huffman,Manager Mars Sample Return Lander 2003 & 2005 ,,,99260 West Micronesia Blvd.,GT,,,Altoona,95923,242-294-4437,
Huffman Zephr,Kinney@domainname.onmicrosoft.com,IR8471560, No,Eve,Kinney,Chief Of Guidance and Propulsion Systems,,,77009 West Corona Ln.,TW,,,Fargo,61963,119-042-8742,
Kinney Eve,Phelps@domainname.onmicrosoft.com,TT295207, No,Amanda,Phelps,Life Sciences Program Manager,,,39807 North Western Sahara Ave.,DE,,,Topeka,58258,146-340-7871,
Phelps Amanda,Ray@domainname.onmicrosoft.com,NJ2905895, No,Lester,Ray,Engineering Technician,,,72263 North Suriname Blvd.,FO,,,Taylorsville,75657,465-561-6015,
Ray Lester,Savage@domainname.onmicrosoft.com,JU9838716, No,Hayden,Savage,Student Interns,,,55084 East Baltimore Ct.,KZ,,,Valdez,19381,604-324-9549,
Savage Hayden,Mercado@domainname.onmicrosoft.com,WX3610423, No,Daphne,Mercado,Software Development Lead,,,32442  Nauru Blvd.,ES,,,Edmond,64615,921-644-5990,
Mercado Daphne,Sandoval@domainname.onmicrosoft.com,CO6369055, No,Jerry,Sandoval,Team Manager ISS Mission Evaluation,,,38255 East Barbados Ave.,US,,,Valencia,1446,038-885-0050,
Sandoval Jerry,Shepherd@domainname.onmicrosoft.com,AX4338073, No,Sage,Shepherd,Aerospace Optical Engineer,,,63503 North Comoros Ln.,HK,,,Needham,2602,685-207-3286,
Shepherd Sage,Glass@domainname.onmicrosoft.com,WS3603231, No,Susan,Glass,High School Science Teacher ,,,55194  Fargo Blvd.,SY,,,Santa Monica,17404,528-291-3400,
Glass Susan,Cummings@domainname.onmicrosoft.com,YX2898913, No,Emmanuel,Cummings,Photopolarimeter Radiometer Instrument Engineer,,,82008 West Cudahy St.,TH,,,Sherrill,69852,925-866-4184,
Cummings Emmanuel,Bauer@domainname.onmicrosoft.com,TN7681485, No,Clarke,Bauer,Psychologist,,,67668 South Belarus Blvd.,FI,,,Vancouver,10975,633-642-4908,
Bauer Clarke,Patel@domainname.onmicrosoft.com,BL7314068, No,Lucius,Patel,Associate Staff Scientist,,,85834 North Belarus Ln.,BE,,,Glens Falls,87804,759-353-8298,
Patel Lucius,Daniel@domainname.onmicrosoft.com,RY2603973, No,Griffith,Daniel,Orbital Debris Scientist ,,,4534 South Norway Ave.,NO,,,Culver City,75556,167-527-1950,
Daniel Griffith,Fitzpatrick@domainname.onmicrosoft.com,MP7557994, No,Kimberly,Fitzpatrick,Life Science Space Experiment Ground Lab Logistics Coordinator,,,28554 South Oxford Blvd.,RU,,,Monrovia,86419,154-468-9034,
Fitzpatrick Kimberly,Burks@domainname.onmicrosoft.com,EV2839026, No,Julie,Burks,Pointing Control System Specialist,,,31744  Christmas Island Blvd.,RU,,,Newport Beach,58213,351-014-1408,
Burks Julie,Mcintyre@domainname.onmicrosoft.com,OJ7400433, No,Kalia,Mcintyre,Aeronautical Engineer,,,37753 West El Salvador Way,DE,,,Iowa City,60975,630-065-3567,
Mcintyre Kalia,Giles@domainname.onmicrosoft.com,LH2733540, No,Cameron,Giles,First Female INCO Flight Controller,,,6599 South Turkmenistan Ave.,CS,,,Catskill,3991,424-869-7844,
Giles Cameron,Blankenship@domainname.onmicrosoft.com,PN2207211, No,Richard,Blankenship,Assistant Branch Chief ,,,48818  Belgium Ct.,IE,,,Clearwater,91776,019-193-8785,
Blankenship Richard,Bond@domainname.onmicrosoft.com,JI3710535, No,Garrett,Bond,Technical Leader for Space Station Outreach Group,,,43920 East French Polynesia Ave.,AT,,,Hope,41275,588-899-5994,
Bond Garrett,Francis@domainname.onmicrosoft.com,BQ3214697, No,Sydnee,Francis,Procurement Agent ,,,66305 North Guatemala Way,IR,,,Norman,26175,783-245-0979,
Francis Sydnee,Dale@domainname.onmicrosoft.com,NV7606521, No,Wendy,Dale,Assistant Superintendent,,,80183  Canada Ln.,IS,,,San Francisco,50522,304-360-0467,
Dale Wendy,Gamble@domainname.onmicrosoft.com,CT9228914, No,Cairo,Gamble,Applied Meteorology,,,73128 South Switzerland Ave.,BR,,,Norfolk,24403,789-949-3326,
Gamble Cairo,Fernandez@domainname.onmicrosoft.com,GG7144690, No,Tanner,Fernandez,HST EVA Manager,,,74469  Agoura Hills Ave.,MY,,,Fort Wayne,90181,454-786-1833,
Fernandez Tanner,Pacheco@domainname.onmicrosoft.com,ZF5976591, No,Larissa,Pacheco,Deputy Chief of Propulsion and Fluid Systems Branch,,,21266  Samoa St.,DZ,,,Columbus,17411,301-832-8028,
Pacheco Larissa,Sexton@domainname.onmicrosoft.com,QJ8077462, No,Perry,Sexton,Operations Rover,,,67010 West Cerritos Way,GB,,,Mesa,48582,543-167-1237,
Sexton Perry,Ferrell@domainname.onmicrosoft.com,XX1327159, No,Abdul,Ferrell,Team Manager ISS Mission Evaluation,,,"82042  Iran, Islamic Republic of Blvd.",SG,,,Aspen,0,622-597-8337,
Ferrell Abdul,Cunningham@domainname.onmicrosoft.com,YD6293769, No,Maxwell,Cunningham,Airborne Telescope Operator,,,23083 East Burkina Faso Blvd.,KG,,,Rancho Cordova,38137,750-981-8802,
Cunningham Maxwell,Ortega@domainname.onmicrosoft.com,JH6485848, No,Tyrone,Ortega,ISS Reliability Engineer,,,99149  Saint Pierre and Miquelon Way,FO,,,Binghamton,35769,115-685-0010,
Ortega Tyrone,Meadows@domainname.onmicrosoft.com,PZ7119144, No,Rina,Meadows,Chief Engineer Bishop Marine Services ,,,67968 North Norway Ln.,IR,,,Tupelo,55213,620-183-2832,
Meadows Rina,Spence@domainname.onmicrosoft.com,LO7608019, No,Orlando,Spence,Materials Scientist,,,89599 South Azerbaijan Ct.,AL,,,North Adams,8739,284-153-2864,
Spence Orlando,Mitchell@domainname.onmicrosoft.com,HA1017310, No,Aquila,Mitchell,Operations Servicing Mission,,,1388 East Kazakhstan St.,AT,,,Oneida,44539,182-573-2408,
Mitchell Aquila,Drake@domainname.onmicrosoft.com,LK2678411, No,Harding,Drake,Senior Electrical Engineer,,,29428 East Romania Ct.,PT,,,Modesto,68715,198-119-4896,
Drake Harding,Gonzales@domainname.onmicrosoft.com,ZU821791, No,Alfreda,Gonzales,Engineering Manager,,,87950 North Irwindale Blvd.,BZ,,,Holyoke,37376,001-034-1594,
Gonzales Alfreda,Church@domainname.onmicrosoft.com,VF3590801, No,Jocelyn,Church,Manager Mars Sample Return Lander 2003 & 2005 ,,,56213 West United States Minor Outlying Islands Ave.,OM,,,Newburyport,45970,800-845-7300,
Church Jocelyn,Tate@domainname.onmicrosoft.com,LW1778390, No,Nicholas,Tate,HST Grants Specialists ,,,34932 West Bouvet Island Blvd.,PT,,,Visalia,79743,037-026-5125,
Tate Nicholas,William@domainname.onmicrosoft.com,NF5072000, No,Jenette,William,Deputy Navigation Team Chief,,,42762 South French Guiana Blvd.,IT,,,Port Orford,19556,758-739-9562,
William Jenette,Soto@domainname.onmicrosoft.com,UF9594718, No,Sybil,Soto,Instrumentation Engineer,,,24999  Brooklyn Park Blvd.,FI,,,Brown Deer,9412,752-818-0383,
Soto Sybil,Fletcher@domainname.onmicrosoft.com,HB9591280, No,Dora,Fletcher,Senior Instrumentation Engineer,,,55471  North Pole St.,UY,,,Eatontown,61373,020-653-5078,
Fletcher Dora,Hyde@domainname.onmicrosoft.com,XQ8019895, No,Bertha,Hyde,Flight Simulation Engineer ,,,6149 South Fountain Valley Ln.,CA,,,West Covina,89240,742-118-5502,
Hyde Bertha,Estes@domainname.onmicrosoft.com,DQ2479295, No,Maite,Estes,Traffic Management Specialist,,,40635 West Zambia Ln.,IR,,,Carson,25724,715-807-2126,
Estes Maite,Watson@domainname.onmicrosoft.com,KO7723405, No,Emmanuel,Watson,Civil Engineer,,,41511 North Anguilla St.,ZA,,,Bowie,34395,282-710-6159,
Watson Emmanuel,Graves@domainname.onmicrosoft.com,KX1162148, No,Kevyn,Graves,Data Systems Specialist,,,32400 South Clearwater Ct.,MX,,,Chicago,75770,361-331-4386,
Graves Kevyn,Knowles@domainname.onmicrosoft.com,QF2951210, No,Frances,Knowles,First Nurse to NASA Astronauts,,,49370  Bolivia Way,LB,,,Edina,18617,199-177-4460,
Knowles Frances,Church@domainname.onmicrosoft.com,QF5119487, No,Ruth,Church,X-38 Project Manager,,,19672 North Cook Islands Blvd.,TW,,,Chicago Heights,97529,723-278-7927,
Church Ruth,Burch@domainname.onmicrosoft.com,QE5840201, No,Griffin,Burch,Student Apprentice ,,,54509 West Haiti Way,JM,,,Bandon,16888,270-239-7111,
Burch Griffin,Mayo@domainname.onmicrosoft.com,VG6504700, No,Samuel,Mayo,Lead Ops planner Mission Operations Directorate,,,86752 West Barbados Way,SV,,,Vancouver,95908,636-786-1866,
Mayo Samuel,Guerrero@domainname.onmicrosoft.com,GZ9912391, No,Tasha,Guerrero,HST Program Specialists,,,99790 West Central African Republic Ln.,PL,,,Meridian,17252,610-592-5756,
Guerrero Tasha,Cummings@domainname.onmicrosoft.com,BO8476532, No,Rudyard,Cummings,HST Commanding Astronomers,,,38306 South Grafton Ct.,QA,,,Gary,3323,300-205-8695,
Cummings Rudyard,Evans@domainname.onmicrosoft.com,IS5891933, No,Sonya,Evans,Pictures/Remote Sensing Specialist,,,54027 South Ansonia Ct.,KR,,,Sunbury,23410,700-426-5428,
Evans Sonya,Goff@domainname.onmicrosoft.com,TE6342429, No,Jameson,Goff,Technology Transfer Specialist,,,83633 West British Indian Ocean Territory Blvd.,TH,,,Reedsport,23415,946-359-0772,
Goff Jameson,Glass@domainname.onmicrosoft.com,PE8427333, No,Talon,Glass,Aerospace Technologist,,,58994 East Ireland Blvd.,JM,,,Vineland,27389,415-047-3851,
Glass Talon,Hancock@domainname.onmicrosoft.com,XO5181917, No,Tamara,Hancock,Ground Systems Engineer,,,25222 East Corpus Christi Ln.,LU,,,Montpelier,87044,143-314-7863,
Hancock Tamara,Dorsey@domainname.onmicrosoft.com,MA4476248, No,Vernon,Dorsey,Environmentalist,,,15003 West El Salvador Way,ZA,,,Cape May,16241,078-845-3814,
Dorsey Vernon,Crawford@domainname.onmicrosoft.com,MP4966702, No,Wing,Crawford,First Chief of Astronomy ,,,69820 North Russian Federation St.,NL,,,Arvada,57198,391-064-9117,
Crawford Wing,Small@domainname.onmicrosoft.com,TQ4632335, No,Tobias,Small,Thermal Protection System/Shuttle Upgrades specialist,,,87693 West Viet Nam St.,ZA,,,Santa Fe,56834,719-708-2144,
Small Tobias,Battle@domainname.onmicrosoft.com,CD9900186, No,Igor,Battle,Payload Project Scientist,,,90162 West Bahamas Blvd.,BH,,,New Haven,29352,022-713-5278,
Battle Igor,Petersen@domainname.onmicrosoft.com,LM1360888, No,Vladimir,Petersen,Power Heating Articulation Lighting and Controls Officer,,,48857 West Slovakia Way,NI,,,Lander,76195,818-614-9721,
Petersen Vladimir,Justice@domainname.onmicrosoft.com,OC5023872, No,Laura,Justice,Senior Airport Planner,,,33152 South Gabon Ave.,BG,,,Suffolk,80642,516-239-3407,
Justice Laura,Lopez@domainname.onmicrosoft.com,NC2000049, No,Gannon,Lopez,University Program Specialist,,,48582  Solomon Islands Way,IE,,,Nogales,29956,922-766-5181,
Lopez Gannon,Beard@domainname.onmicrosoft.com,OH7760365, No,Colette,Beard,Experiment Processing Engineer,,,5756 East Aurora St.,MK,,,Latrobe,1876,039-320-6339,
Beard Colette,Long@domainname.onmicrosoft.com,OT5494004, No,Derek,Long,Professor Emeritus Colorado State University ,,,76670  Heard Island and Mcdonald Islands St.,MA,,,Ardmore,30381,553-020-9645,
Long Derek,Decker@domainname.onmicrosoft.com,TB5790429, No,Hamish,Decker,Congressional Staff Member ,,,"10232  Palestinian Territory, Occupied St.",TH,,,Stillwater,87674,379-386-7583,
Decker Hamish,Tran@domainname.onmicrosoft.com,KP894078, No,Wade,Tran,Space Suit Project Engineer,,,51703 East Angola Way,FR,,,Seward,46112,136-978-7761,
Tran Wade,Haney@domainname.onmicrosoft.com,BK4139953, No,Hashim,Haney,Technical Integration Engineer with Space Station,,,76349 North Vanuatu Ave.,CO,,,Tyler,49480,077-613-5303,
Haney Hashim,York@domainname.onmicrosoft.com,WN8971154, No,Dennis,York,Lead Mechanical Technician,,,43886  Switzerland Way,PE,,,Fort Smith,20485,600-593-2637,
York Dennis,Byers@domainname.onmicrosoft.com,XY432847, No,Karyn,Byers,Test Director,,,67505 South Ukraine St.,GT,,,Meriden,16895,779-448-6482,
Byers Karyn,Vaughan@domainname.onmicrosoft.com,OR5086049, No,Malachi,Vaughan,First American Woman in Space,,,59066 West Sierra Leone Ct.,MC,,,North Tonawanda,55710,789-634-0035,
Vaughan Malachi,Mendoza@domainname.onmicrosoft.com,DU3242584, No,Simone,Mendoza,Air Traffic Management Trainer,,,30736 North Cameroon St.,BE,,,New Albany,79059,323-859-3143,
Mendoza Simone,Mcknight@domainname.onmicrosoft.com,VV6628745, No,Andrew,Mcknight,Flight Crew Equipment Manager,,,18932 South Sierra Leone Ct.,TT,,,Manhattan Beach,64717,843-621-0445,
Mcknight Andrew,Allen@domainname.onmicrosoft.com,SA633156, No,Isadora,Allen,Payload Mission Manager,,,44893 West Egg Harbor St.,CA,,,Sault Ste. Marie,51109,896-852-4664,
Allen Isadora,Underwood@domainname.onmicrosoft.com,GA8693477, No,Ciaran,Underwood,Electronics Engineer,,,53723  Hampton Ct.,EG,,,West Hartford,36977,762-281-1587,
Underwood Ciaran,Frederick@domainname.onmicrosoft.com,SO5835870, No,Cynthia,Frederick,President Hitter Communications ,,,23651 South Columbia Ave.,BN,,,Connellsville,3681,910-698-8154,
Frederick Cynthia,White@domainname.onmicrosoft.com,QB1190107, No,Emerald,White,Space Shuttle Remote Manipulator System Training Instructor,,,28421  Duquesne Ln.,MV,,,Truth or Consequences,31250,686-657-6245,
White Emerald,Langley@domainname.onmicrosoft.com,XQ1217400, No,Caryn,Langley,Mission Planning and Sequence Team of the Mars Global Surveyor,,,59122 East Saint Pierre and Miquelon Way,QA,,,South Burlington,56741,398-167-0296,
Langley Caryn,Sweet@domainname.onmicrosoft.com,FN8694334, No,Porter,Sweet,Engineering Assistant NASA's SHARP Program ,,,98205 North Gabon Ave.,RO,,,Brookings,4092,335-961-6942,
Sweet Porter,Wilkerson@domainname.onmicrosoft.com,WW7004291, No,Penelope,Wilkerson,Computer Technician,,,9323 West Knoxville Ct.,MV,,,Marietta,89048,186-208-4643,
Wilkerson Penelope,Mcdonald@domainname.onmicrosoft.com,FB9716955, No,Hadley,Mcdonald,Air Traffic Control Analyst,,,30704  Guinea Blvd.,BZ,,,Hawthorne,53456,029-216-5051,
Mcdonald Hadley,Bauer@domainname.onmicrosoft.com,MA1165330, No,Constance,Bauer,Aerospace Technologist,,,"21417 East Palestinian Territory, Occupied Ct.",MA,,,Yakima,30531,972-205-4343,
Bauer Constance,Patel@domainname.onmicrosoft.com,HE6620510, No,Macon,Patel,Research Astrophysicist,,,55035 North Cocos (Keeling) Islands Way,TR,,,Auburn,93810,026-325-7015,
Patel Macon,Buck@domainname.onmicrosoft.com,AQ3235628, No,Melinda,Buck,HST Computer Specialists,,,70810 East Newport Beach Ct.,PY,,,Boston,19286,925-626-6131,
Buck Melinda,Fisher@domainname.onmicrosoft.com,IX6031706, No,Garrett,Fisher,Science Education Coordinator ,,,7689 East Spain Ln.,GT,,,Santa Clarita,16913,625-575-2121,
Fisher Garrett,Keith@domainname.onmicrosoft.com,GW5753355, No,Ulla,Keith,Principal Scientist,,,83716 East Norfolk Island Blvd.,AR,,,Sioux City,11205,229-671-5425,
Keith Ulla,Cherry@domainname.onmicrosoft.com,CF1908399, No,Nevada,Cherry,Experiment Systems Manager,,,"66691 North Virgin Islands, British Ln.",AL,,,Burlingame,67284,545-412-6583,
Cherry Nevada,Ramos@domainname.onmicrosoft.com,VZ995295, No,Ivan,Ramos,Space Flight Technician,,,60782 North Puerto Rico Blvd.,IT,,,Vancouver,25480,995-593-0640,
Ramos Ivan,Davidson@domainname.onmicrosoft.com,KA189686, No,David,Davidson,Test Conductor,,,58683 East Bhutan Ave.,KW,,,Boulder Junction,40023,831-188-6401,
Davidson David,Reyes@domainname.onmicrosoft.com,TB6472377, No,Slade,Reyes,Payloads Operations Engineer,,,32618 East Togo Blvd.,VE,,,Beckley,26955,899-749-0691,
Reyes Slade,Hobbs@domainname.onmicrosoft.com,ZO7730867, No,Stacy,Hobbs,Owner Senior Instructor Big Red Divers Supply Inc. ,,,27021  Mexico Ct.,BO,,,Atlanta,75195,136-410-4597,
Hobbs Stacy,Stark@domainname.onmicrosoft.com,YY5607190, No,Uriel,Stark,Senior Scientist,,,78371 East Solomon Islands St.,MY,,,Somersworth,87821,235-287-6355,
Stark Uriel,Rivers@domainname.onmicrosoft.com,SB8192666, No,Alma,Rivers,Payload Project Scientist,,,67509 West Hartland Ln.,KR,,,Holyoke,70871,565-176-6593,
Rivers Alma,Olsen@domainname.onmicrosoft.com,NJ4079671, No,Linda,Olsen,HST Ground System Software Support,,,53872  Trinidad and Tobago Ln.,CZ,,,Statesboro,52969,631-997-6030,
Olsen Linda,Stevenson@domainname.onmicrosoft.com,OV328799, No,Tiger,Stevenson,High School Student ,,,40313  Kalispell Way,PT,,,Oxford,68503,125-014-7362,
Stevenson Tiger,Atkinson@domainname.onmicrosoft.com,EP2824378, No,Armand,Atkinson,Engineering Technician,,,12803 South Faroe Islands Way,IE,,,Clarksville,82744,674-155-3581,
Atkinson Armand,Dillon@domainname.onmicrosoft.com,RU8374705, No,Tamara,Dillon,Strobotic Drill Project Manager Rover,,,90986 East Lubbock Blvd.,NI,,,La Palma,4952,673-130-2649,
Dillon Tamara,Garrison@domainname.onmicrosoft.com,DI6039119, No,Tana,Garrison,Mission Evaluation Room Manager,,,62891 South Clairton Ave.,CL,,,Laurel,61126,878-214-3071,
Garrison Tana,Cantu@domainname.onmicrosoft.com,TU4507144, No,Jordan,Cantu,Facility Engineer ,,,40353  Bouvet Island Blvd.,SK,,,Hammond,24836,206-572-6755,
Cantu Jordan,Bolton@domainname.onmicrosoft.com,GA8272264, No,Tara,Bolton,Electrical Engineer,,,68844  Costa Rica St.,IQ,,,East St. Louis,48640,633-195-9586,
Bolton Tara,Love@domainname.onmicrosoft.com,XJ3607417, No,Mannix,Love,Photopolarimeter Radiometer Science Coordinator,,,79592 East Mequon St.,ES,,,Fountain Valley,59431,852-500-2944,
Love Mannix,Mccray@domainname.onmicrosoft.com,AW2002020, No,Warren,Mccray,Space Physicist Space Radiation Analysis,,,13182 South Central African Republic Way,IR,,,Louisville,53898,265-984-4318,
Mccray Warren,Gilmore@domainname.onmicrosoft.com,IS5651581, No,Charity,Gilmore,Lead Mechanical Technician,,,11462 South Bahamas Way,UY,,,Richmond,69403,345-819-3840,
Gilmore Charity,Frederick@domainname.onmicrosoft.com,WB9890693, No,Yvette,Frederick,Camera Systems Principal Investigator,,,11348 West Samoa Ln.,TT,,,Tyler,27519,088-994-3522,
Frederick Yvette,Carey@domainname.onmicrosoft.com,IO5291794, No,Neve,Carey,Flight Engineer ,,,19746 South Saint Lucia Ct.,RO,,,Lansing,80673,994-521-1044,
Carey Neve,England@domainname.onmicrosoft.com,KH2351573, No,Whoopi,England,Lead Schedule Integration Engineer,,,40841  Cocos (Keeling) Islands Ct.,DZ,,,Naperville,46721,909-462-4969,
England Whoopi,Carson@domainname.onmicrosoft.com,LF4278390, No,Elaine,Carson,Airborne Telescope Operator,,,52143  Ukraine Ln.,IR,,,Rancho Cordova,51432,726-828-3996,
Carson Elaine,Callahan@domainname.onmicrosoft.com,TF592275, No,Josiah,Callahan,Launch Site Support Office Personnel,,,17828  Madagascar Ct.,IL,,,Bessemer,21052,115-319-7008,
Callahan Josiah,David@domainname.onmicrosoft.com,SI9253822, No,Yoko,David,Applications Support Programmer,,,88896 East Farmer City Blvd.,PA,,,West Warwick,73585,609-025-1903,
David Yoko,Crane@domainname.onmicrosoft.com,ZD3251732, No,Felicia,Crane,First African-American Woman to Fly In Space,,,76922 West Thailand St.,PH,,,Altoona,50700,015-341-5882,
Crane Felicia,Ruiz@domainname.onmicrosoft.com,UP1333660, No,Haley,Ruiz,Aircraft Inspector,,,98052 West Somalia Blvd.,ZA,,,Greenville,62078,326-170-0505,
Ruiz Haley,Sellers@domainname.onmicrosoft.com,XI220186, No,Geoffrey,Sellers,Project Manager,,,44512 South Bosnia and Herzegovina Ave.,YE,,,Chandler,79315,326-182-9552,
Sellers Geoffrey,Schroeder@domainname.onmicrosoft.com,LA3537426, No,Thaddeus,Schroeder,Science Instruments Specialist,,,28626 North Algeria Ave.,BR,,,Vancouver,717,098-084-9252,
Schroeder Thaddeus,Berry@domainname.onmicrosoft.com,EO2756432, No,Reese,Berry,Astronomer,,,39340  Macomb Ct.,BH,,,New Iberia,50254,803-316-9058,
Berry Reese,Cunningham@domainname.onmicrosoft.com,LA1723292, No,Fleur,Cunningham,Librarian/Archivist,,,24197  Anguilla Ct.,HR,,,Signal Hill,88913,771-722-7563,
Cunningham Fleur,Marshall@domainname.onmicrosoft.com,BX3049545, No,Dominique,Marshall,Computer Technician,,,79147  Bahrain Way,CO,,,Santa Clara,38734,505-811-2285,
Marshall Dominique,Collier@domainname.onmicrosoft.com,ED8142184, No,Travis,Collier,Space Physicist Space Radiation Analysis,,,50444 North Erie Blvd.,FO,,,Eufaula,55809,177-111-1608,
Collier Travis,Park@domainname.onmicrosoft.com,KR1545264, No,Oscar,Park,Astronaut Office Personnel,,,17960 West Qatar Ct.,LV,,,Woburn,6450,114-089-0860,
Park Oscar,Diaz@domainname.onmicrosoft.com,UL2364818, No,TaShya,Diaz,Aerodynamics Engineer,,,51593  Estonia Ct.,KE,,,Saukville,70658,697-256-1668,
Diaz TaShya,Graham@domainname.onmicrosoft.com,EK3573970, No,Griffith,Graham,Film Writer Director And Producer ,,,55727  Macedonia Blvd.,OM,,,Oneida,43534,978-144-6930,
Graham Griffith,Pierce@domainname.onmicrosoft.com,UU3237447, No,Lee,Pierce,Fluids Engineer,,,3552  Mexico Ln.,KE,,,Shreveport,20997,655-326-7329,
Pierce Lee,Peck@domainname.onmicrosoft.com,TU8591136, No,Colin,Peck,Director California Air & Space Center Teacher Institute,,,79965 North Finland Blvd.,CZ,,,Moraga,66263,430-024-6444,
Peck Colin,Lester@domainname.onmicrosoft.com,PR3243641, No,Tucker,Lester,Biocomputation Center Deputy Director,,,95296 West Northampton Way,BR,,,Hammond,89297,269-526-6572,
Lester Tucker,Eaton@domainname.onmicrosoft.com,YN1545164, No,Erasmus,Eaton,Journalist ,,,38272 North Grenada Way,PT,,,Ypsilanti,25819,780-221-1492,
Eaton Erasmus,Hodges@domainname.onmicrosoft.com,BG5448542, No,Kareem,Hodges,Operations Management,,,57883 West Bhutan St.,TH,,,Rock Springs,74330,300-731-1021,
Hodges Kareem,Lester@domainname.onmicrosoft.com,PH9079574, No,Theodore,Lester,System Design Engineer,,,70830 North Estonia St.,GT,,,Twin Falls,92657,826-483-3875,
Lester Theodore,Hughes@domainname.onmicrosoft.com,PG5422968, No,Uma,Hughes,Flight Operations Manager ,,,"80072  Iran, Islamic Republic of Ln.",TN,,,Great Falls,8869,718-683-4545,
Hughes Uma,Prince@domainname.onmicrosoft.com,ZE9715467, No,Britanney,Prince,Teacher,,,16232  Dominica Blvd.,PE,,,Seattle,82649,172-919-7214,
Prince Britanney,Logan@domainname.onmicrosoft.com,GC5910203, No,Maxine,Logan,Project Manager,,,24071 East Fairbanks Ave.,LY,,,Hackensack,55817,204-102-5288,
Logan Maxine,Allen@domainname.onmicrosoft.com,KI543844, No,Mannix,Allen,Life Sciences Program Manager,,,88660 South United States Ave.,FR,,,Sierra Vista,85356,591-039-9580,
Allen Mannix,Henson@domainname.onmicrosoft.com,VX5272358, No,Miriam,Henson,Senior Research Associate ,,,14819 West Oak Ridge St.,YE,,,Alexandria,26567,040-221-9253,
Henson Miriam,Vinson@domainname.onmicrosoft.com,UF5293023, No,Lee,Vinson,Reasearch Instrument Maker,,,62408 East Aruba St.,PK,,,Fremont,59418,841-254-3653,
Vinson Lee,Torres@domainname.onmicrosoft.com,QA1399491, No,Adria,Torres,Life Sciences Outreach Office Personnel,,,15882  Cambodia St.,HK,,,Guayanilla,74287,319-469-6850,
Torres Adria,Ryan@domainname.onmicrosoft.com,PJ2202634, No,Grady,Ryan,College Intern ,,,98179 North Afghanistan Ct.,MN,,,Attleboro,52891,958-828-0027,
Ryan Grady,Gordon@domainname.onmicrosoft.com,CO8852447, No,Rose,Gordon,Principal Scientist,,,8768 West Mauritania St.,SI,,,Clovis,83964,662-508-1682,
Gordon Rose,Baker@domainname.onmicrosoft.com,MR8997950, No,Darius,Baker,Student Scientist ,,,73106 South East Hartford Ct.,HN,,,Moline,60367,378-259-1800,
Baker Darius,Mercer@domainname.onmicrosoft.com,FD2902090, No,Kessie,Mercer,Ground Controller,,,61939 North Algeria St.,RU,,,Eau Claire,72319,899-735-6666,
Mercer Kessie,Kerr@domainname.onmicrosoft.com,KE648700, No,Hunter,Kerr,Conceptual Aircraft Designer,,,43444 North Australia Way,TH,,,Hawaiian Gardens,76005,220-472-2171,
Kerr Hunter,Andrews@domainname.onmicrosoft.com,IT6914406, No,Veronica,Andrews,Equal Opportunity Office Personnel,,,52413 West Nenana Ln.,LI,,,North Platte,35038,497-138-0483,
Andrews Veronica,Vaughan@domainname.onmicrosoft.com,CJ3358680, No,Porter,Vaughan,System Safety Reliability & Quality Assurance Lead,,,69253  Moraga Blvd.,BN,,,Cambridge,79010,119-418-7644,
Vaughan Porter,Riggs@domainname.onmicrosoft.com,BV3959424, No,Kyla,Riggs,Space Flight Training Specialist,,,35524 North Mali Ln.,PA,,,Forrest City,45421,633-051-0391,
Riggs Kyla,Duffy@domainname.onmicrosoft.com,AH2765252, No,Kylan,Duffy,Second/Third Grade Multi-Age Teacher,,,3161 West Japan Ct.,PE,,,Sault Ste. Marie,37089,966-679-6317,
Duffy Kylan,Hill@domainname.onmicrosoft.com,VU1562727, No,Roary,Hill,Forecaster Space Meteorology Group,,,93247  Congo Ct.,SI,,,Lawrence,18345,213-752-5264,
Hill Roary,Lara@domainname.onmicrosoft.com,BW9572828, No,Fitzgerald,Lara,Surface Expert,,,71591 North Grenada Ct.,ID,,,Sunbury,3326,390-442-8582,
Lara Fitzgerald,Barry@domainname.onmicrosoft.com,IH8338073, No,Walter,Barry,Orbital Engineering Team,,,"67323 North Tanzania, United Republic of Way",MY,,,Niagara Falls,68088,988-037-3130,
Barry Walter,Burt@domainname.onmicrosoft.com,TW7370723, No,Anne,Burt,Lead Shuttle Systems Inspector,,,40001 South Costa Rica St.,KR,,,Parma,20493,188-597-9733,
Burt Anne,Baldwin@domainname.onmicrosoft.com,UP4327138, No,Riley,Baldwin,Assistant Superintendent,,,86153 West Brookings Ct.,MY,,,Sedalia,68207,634-875-8646,
Baldwin Riley,Sheppard@domainname.onmicrosoft.com,TL327804, No,Yvonne,Sheppard,Experimental Psychologist,,,23570 North Hope St.,EE,,,Nashville,2254,728-493-1413,
Sheppard Yvonne,Odonnell@domainname.onmicrosoft.com,YX8600561, No,Elvis,Odonnell,Education Specialist,,,94582 West Evansville Ln.,IT,,,Wahoo,56766,632-606-1809,
